t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781401443,0,0.0,0.0,0.0,0.0,events/second
1781401473,0,0.0,0.0,0.0,0.0,events/second
1781401503,0,0.0,0.0,0.0,0.0,events/second
1781401533,0,0.0,0.0,0.0,0.0,events/second
1781401563,0,0.0,0.0,0.0,0.0,events/second
1781401593,0,0.0,0.0,0.0,0.0,events/second
1781401623,0,0.0,0.0,0.0,0.0,events/second
1781401653,0,0.0,0.0,0.0,0.0,events/second
1781401683,0,0.0,0.0,0.0,0.0,events/second
1781401713,0,0.0,0.0,0.0,0.0,events/second
1781401743,0,0.0,0.0,0.0,0.0,events/second
1781401773,0,0.0,0.0,0.0,0.0,events/second
1781401803,0,0.0,0.0,0.0,0.0,events/second
1781401833,0,0.0,0.0,0.0,0.0,events/second
1781401863,0,0.0,0.0,0.0,0.0,events/second
1781401893,0,0.0,0.0,0.0,0.0,events/second
1781401923,0,0.0,0.0,0.0,0.0,events/second
1781401953,0,0.0,0.0,0.0,0.0,events/second
1781401983,0,0.0,0.0,0.0,0.0,events/second
1781402013,0,0.0,0.0,0.0,0.0,events/second
1781402043,0,0.0,0.0,0.0,0.0,events/second
1781402073,0,0.0,0.0,0.0,0.0,events/second
1781402103,0,0.0,0.0,0.0,0.0,events/second
1781402133,0,0.0,0.0,0.0,0.0,events/second
1781402163,0,0.0,0.0,0.0,0.0,events/second
1781402193,0,0.0,0.0,0.0,0.0,events/second
1781402223,0,0.0,0.0,0.0,0.0,events/second
1781402253,0,0.0,0.0,0.0,0.0,events/second
1781402283,0,0.0,0.0,0.0,0.0,events/second
1781402313,0,0.0,0.0,0.0,0.0,events/second
1781402343,0,0.0,0.0,0.0,0.0,events/second
1781402373,0,0.0,0.0,0.0,0.0,events/second
1781402403,0,0.0,0.0,0.0,0.0,events/second
1781402433,0,0.0,0.0,0.0,0.0,events/second
1781402463,0,0.0,0.0,0.0,0.0,events/second
1781402493,0,0.0,0.0,0.0,0.0,events/second
1781402523,0,0.0,0.0,0.0,0.0,events/second
1781402700,0,0.0,0.0,0.0,0.0,events/second
1781402732,0,0.0,0.0,0.0,0.0,events/second
1781402762,0,0.0,0.0,0.0,0.0,events/second
1781402792,0,0.0,0.0,0.0,0.0,events/second
1781402822,0,0.0,0.0,0.0,0.0,events/second
1781402852,0,0.0,0.0,0.0,0.0,events/second
1781402882,0,0.0,0.0,0.0,0.0,events/second
1781402913,0,0.0,0.0,0.0,0.0,events/second
1781402943,0,0.0,0.0,0.0,0.0,events/second
1781402973,0,0.0,0.0,0.0,0.0,events/second
1781403003,0,0.0,0.0,0.0,0.0,events/second
1781403033,0,0.0,0.0,0.0,0.0,events/second
1781403063,0,0.0,0.0,0.0,0.0,events/second
1781403093,0,0.0,0.0,0.0,0.0,events/second
1781403123,0,0.0,0.0,0.0,0.0,events/second
1781403153,0,0.0,0.0,0.0,0.0,events/second
1781403183,0,0.0,0.0,0.0,0.0,events/second
1781403213,0,0.0,0.0,0.0,0.0,events/second
1781403243,0,0.0,0.0,0.0,0.0,events/second
1781403273,0,0.0,0.0,0.0,0.0,events/second
1781403303,0,0.0,0.0,0.0,0.0,events/second
1781403333,0,0.0,0.0,0.0,0.0,events/second
1781403363,0,0.0,0.0,0.0,0.0,events/second
1781403393,0,0.0,0.0,0.0,0.0,events/second
1781403423,0,0.0,0.0,0.0,0.0,events/second
1781403453,0,0.0,0.0,0.0,0.0,events/second
1781403483,0,0.0,0.0,0.0,0.0,events/second
1781403513,0,0.0,0.0,0.0,0.0,events/second
1781403543,0,0.0,0.0,0.0,0.0,events/second
1781403573,0,0.0,0.0,0.0,0.0,events/second
1781403603,0,0.0,0.0,0.0,0.0,events/second
1781403633,0,0.0,0.0,0.0,0.0,events/second
1781403663,0,0.0,0.0,0.0,0.0,events/second
1781403693,0,0.0,0.0,0.0,0.0,events/second
1781403723,0,0.0,0.0,0.0,0.0,events/second
1781403753,0,0.0,0.0,0.0,0.0,events/second
1781403783,0,0.0,0.0,0.0,0.0,events/second
1781444820,0,0.0,0.0,0.0,0.0,events/second
1781444851,0,0.0,0.0,0.0,0.0,events/second
1781444881,0,0.0,0.0,0.0,0.0,events/second
1781444911,0,0.0,0.0,0.0,0.0,events/second
1781444941,0,0.0,0.0,0.0,0.0,events/second
1781444971,0,0.0,0.0,0.0,0.0,events/second
1781445001,0,0.0,0.0,0.0,0.0,events/second
1781445031,0,0.0,0.0,0.0,0.0,events/second
1781445061,0,0.0,0.0,0.0,0.0,events/second
1781445091,0,0.0,0.0,0.0,0.0,events/second
1781445121,0,0.0,0.0,0.0,0.0,events/second
1781445152,0,0.0,0.0,0.0,0.0,events/second
